Info,Department,Attendance,Performance,Staff
01-Bob,TD,27,24,TD-Bob
02-Lily,TD,25,23,TD-Lily
03-Ivy,TD,24,15,TD-Ivy
04-Alan,TD,30,24,TD-Alan
05-John,TD,22,19,TD-John
07-Iris,TD,23,22,TD-Iris
08-David,TD,14,17,TD-David
09-Tony,TD,24,21,TD-Tony
10-Eric,TD,23,23,TD-Eric
11-Jim,TD,22,21,TD-Jim
12-Ken,TD,15,12,TD-Ken
13-Judy,TD,13,10,TD-Judy
14-Mandy,TD,24,25,TD-Mandy
01-Tina,MD,22,27,MD-Tina
02-Sara,MD,22,28,MD-Sara
03-Diana,MD,22,24,MD-Diana
04-Amy,MD,19,20,MD-Amy
05-Kelly,MD,26,26,MD-Kelly
06-Leo,MD,22,24,MD-Leo
07-Tom,MD,23,22,MD-Tom
01-Mark,SD,23,18,SD-Mark
03-William,SD,29,20,SD-William
04-Gary,SD,26,23,SD-Gary
06-Marlon,SD,14,10,SD-Marlon
07-Evan,SD,27,21,SD-Evan
08-Hardy,SD,22,18,SD-Hardy
09-Betty,SD,25,21,SD-Betty
10-Polly,SD,28,22,SD-Polly
