Staff,Perf_rate,Achievements,Attendance,Performance
MD-Sara,A,127.27,22,28
MD-Tina,A,122.73,22,27
MD-Leo,B,109.09,22,24
MD-Diana,B,109.09,22,24
TD-Mandy,B,104.17,24,25
MD-Kelly,100.0,100.0,26,26
TD-Eric,100.0,100.0,23,23
MD-Tom,C,95.65,23,22
TD-Iris,C,95.65,23,22
TD-Jim,C,95.45,22,21
TD-Lily,C,92.0,25,23
TD-Bob,C,88.89,27,24
SD-Gary,C,88.46,26,23
TD-Tony,C,87.5,24,21
TD-John,C,86.36,22,19
SD-Betty,C,84.0,25,21
SD-Hardy,C,81.82,22,18
TD-Alan,80.0,80.0,30,24
SD-Polly,D,78.57,28,22
SD-Mark,D,78.26,23,18
SD-Evan,D,77.78,27,21
SD-William,F,68.97,29,20
TD-Ivy,F,62.5,24,15
