Info,Department,Attendance,Performance,Staff
01-Bob,Technical Department,27,24,Bob
02-Lily,Technical Department,25,23,Lily
03-Ivy,Technical Department,24,15,Ivy
04-Alan,Technical Department,30,24,Alan
05-John,Technical Department,22,19,John
07-Iris,Technical Department,23,22,Iris
08-David,Technical Department,14,17,David
09-Tony,Technical Department,24,21,Tony
10-Eric,Technical Department,23,23,Eric
11-Jim,Technical Department,22,21,Jim
12-Ken,Technical Department,15,12,Ken
13-Judy,Technical Department,13,10,Judy
14-Mandy,Technical Department,24,25,Mandy
01-Tina,Manage Department,22,27,Tina
02-Sara,Manage Department,22,28,Sara
03-Diana,Manage Department,22,24,Diana
04-Amy,Manage Department,19,20,Amy
05-Kelly,Manage Department,26,26,Kelly
06-Leo,Manage Department,22,24,Leo
07-Tom,Manage Department,23,22,Tom
01-Mark,Sales Department,23,18,Mark
03-William,Sales Department,29,20,William
04-Gary,Sales Department,26,23,Gary
06-Marlon,Sales Department,14,10,Marlon
07-Evan,Sales Department,27,21,Evan
08-Hardy,Sales Department,22,18,Hardy
09-Betty,Sales Department,25,21,Betty
10-Polly,Sales Department,28,22,Polly
